Feature,Importance
cat__HouseStyle_2.5Unf,2.42187087707565e-05
cat__GarageFinish_RFn,2.2896645533185238e-05
cat__BsmtCond_Gd,2.1536580915671956e-05
cat__Neighborhood_MeadowV,2.1481044960494447e-05
cat__ExterQual_TA,2.031636367753787e-05
cat__PavedDrive_N,2.0306478812085167e-05
cat__Exterior2nd_Wd Shng,1.9523374431677327e-05
cat__BsmtFinType2_Rec,1.8862763377769346e-05
cat__Exterior2nd_HdBoard,1.7985091743705208e-05
cat__Neighborhood_CollgCr,1.7644288643782066e-05
cat__HouseStyle_2Story,1.749286737077657e-05
cat__SaleType_CWD,1.6409577060025556e-05
cat__BsmtFinType1_Rec,1.605645845457248e-05
cat__BsmtCond_TA,1.5312353716141025e-05
cat__SaleType_COD,1.4518152582214733e-05
cat__HouseStyle_SLvl,1.3238181458386692e-05
cat__Foundation_PConc,1.2734399098877568e-05
cat__HeatingQC_TA,1.2359322248894588e-05
cat__FireplaceQu_Fa,1.1328415831913668e-05
cat__GarageType_Detchd,1.1321160013116056e-05
cat__GarageQual_Fa,1.0218146422904744e-05
cat__Functional_Maj2,1.0161692245767819e-05
cat__BsmtFinType2_LwQ,9.465826001930813e-06
cat__Exterior1st_Stucco,8.420284547859902e-06
cat__GarageQual_Ex,8.287155637246055e-06
cat__GarageQual_Missing,7.697130852831052e-06
cat__HeatingQC_Gd,6.563330612854876e-06
cat__Foundation_CBlock,6.220103905645146e-06
cat__BldgType_1Fam,3.233602753551316e-06
cat__Neighborhood_OldTown,2.7733503499809503e-06
cat__Exterior1st_Plywood,2.7333671044538403e-06
cat__Exterior1st_VinylSd,2.731407379367788e-06
cat__LotConfig_Corner,2.547613252297803e-06
cat__HeatingQC_Ex,2.443829593279635e-06
cat__RoofMatl_WdShngl,2.1530109663808583e-06
cat__GarageType_Missing,1.9445050820226448e-06
cat__GarageType_BuiltIn,1.6150061877238554e-06
cat__Exterior2nd_Plywood,1.5348635894573892e-06
cat__GarageQual_TA,1.5183518289673564e-06
cat__Condition1_Feedr,1.2425360587413926e-06
cat__LandContour_Low,1.199515768453654e-06
cat__Exterior2nd_Wd Sdng,1.0520995912688673e-06
cat__Electrical_SBrkr,6.932268044153764e-07
cat__Heating_GasW,4.291533417022559e-08
cat__Condition2_RRAe,0.0
cat__Condition2_PosN,0.0
cat__Condition2_PosA,0.0
cat__RoofStyle_Shed,0.0
cat__RoofMatl_Metal,0.0
cat__RoofMatl_ClyTile,0.0
cat__RoofMatl_WdShake,0.0
cat__Exterior1st_AsphShn,0.0
cat__Exterior1st_BrkComm,0.0
cat__Exterior1st_CBlock,0.0
cat__Exterior1st_CemntBd,0.0
cat__Condition1_PosA,0.0
cat__Condition1_RRAn,0.0
cat__Condition1_RRNe,0.0
cat__Condition2_RRAn,0.0
cat__SaleType_ConLw,0.0
cat__SaleType_Oth,0.0
cat__SaleType_WD,0.0
cat__SaleCondition_AdjLand,0.0
cat__SaleType_ConLI,0.0
cat__Neighborhood_NPkVill,0.0
cat__Neighborhood_IDOTRR,0.0
cat__Neighborhood_NAmes,0.0
cat__Neighborhood_NoRidge,0.0
cat__Neighborhood_Sawyer,0.0
cat__Neighborhood_SawyerW,0.0
cat__Neighborhood_Timber,0.0
cat__Neighborhood_Blueste,0.0
cat__Neighborhood_BrDale,0.0
cat__LandSlope_Sev,0.0
cat__SaleType_Con,0.0
cat__Condition2_Feedr,0.0
cat__Condition2_Artery,0.0
cat__Condition1_RRNn,0.0
cat__Condition2_RRNn,0.0
cat__HouseStyle_1.5Unf,0.0
cat__HouseStyle_1.5Fin,0.0
cat__BldgType_TwnhsE,0.0
cat__BldgType_Twnhs,0.0
cat__BldgType_Duplex,0.0
cat__BldgType_2fmCon,0.0
cat__HouseStyle_2.5Fin,0.0
cat__HouseStyle_SFoyer,0.0
cat__LotConfig_FR3,0.0
cat__Utilities_NoSeWa,0.0
cat__Utilities_AllPub,0.0
cat__Exterior1st_Stone,0.0
cat__Exterior1st_HdBoard,0.0
cat__Exterior1st_ImStucc,0.0
cat__RoofStyle_Mansard,0.0
cat__RoofStyle_Gambrel,0.0
cat__RoofMatl_Roll,0.0
cat__BsmtExposure_Missing,0.0
cat__Foundation_Slab,0.0
cat__ExterCond_TA,0.0
cat__BsmtQual_Fa,0.0
cat__BsmtFinType1_BLQ,0.0
cat__BsmtFinType1_Missing,0.0
cat__BsmtFinType1_Unf,0.0
cat__Foundation_Stone,0.0
cat__Exterior2nd_Other,0.0
cat__Exterior2nd_CBlock,0.0
cat__Exterior2nd_BrkFace,0.0
cat__Exterior1st_Wd Sdng,0.0
cat__Exterior1st_WdShing,0.0
cat__Exterior2nd_AsphShn,0.0
cat__Exterior2nd_Brk Cmn,0.0
cat__Exterior2nd_Stone,0.0
cat__ExterCond_Ex,0.0
cat__ExterCond_Fa,0.0
cat__ExterCond_Po,0.0
cat__ExterQual_Fa,0.0
cat__BsmtQual_Missing,0.0
cat__BsmtCond_Po,0.0
cat__BsmtCond_Missing,0.0
cat__Heating_Floor,0.0
cat__BsmtFinType2_Missing,0.0
cat__BsmtFinType2_BLQ,0.0
cat__BsmtFinType2_GLQ,0.0
cat__BsmtFinType2_ALQ,0.0
cat__BsmtFinType1_LwQ,0.0
cat__Electrical_Missing,0.0
cat__Electrical_FuseP,0.0
cat__Electrical_FuseA,0.0
cat__HeatingQC_Po,0.0
cat__Heating_Grav,0.0
cat__Heating_OthW,0.0
cat__Heating_Wall,0.0
cat__Street_Grvl,0.0
num__MiscVal,0.0
cat__KitchenQual_Fa,0.0
cat__Functional_Min2,0.0
cat__Functional_Min1,0.0
cat__Functional_Maj1,0.0
cat__Street_Pave,0.0
cat__Electrical_FuseF,0.0
cat__GarageFinish_Missing,0.0
cat__FireplaceQu_TA,0.0
cat__GarageType_2Types,0.0
cat__GarageQual_Po,0.0
cat__GarageQual_Gd,0.0
cat__GarageCond_Fa,0.0
cat__GarageCond_Ex,0.0
cat__GarageCond_Gd,0.0
cat__GarageCond_Missing,0.0
cat__GarageCond_Po,0.0
cat__PavedDrive_P,0.0
